,label,filename,comment,vessel
0,1.0,2017-ULU01_0+1_20170726_183602.wav,Distant ship,ship
1,1.0,2017-ULU01_0+1_20170728_100602.wav,,ship
2,1.0,2017-ULU01_0+1_20170728_103602.wav,,ship
3,1.0,2017-ULU01_0+1_20170728_143602.wav,,ship
4,1.0,2017-ULU01_0+1_20170728_163602.wav,,ship
5,1.0,2017-ULU01_0+1_20170728_193602.wav,,ship
6,1.0,2017-ULU01_0+1_20170728_210602.wav,,ship
7,1.0,2017-ULU01_0+1_20170809_060602.wav,Distant ship,ship
8,1.0,2017-ULU01_0+1_20170809_063602.wav,Distant ship,ship
9,1.0,2017-ULU01_0+1_20170809_070602.wav,Distant ship,ship
10,0.0,2017-ULU01_0+1_20170930_233602.wav,Windy,none
11,0.0,2017-ULU01_0+1_20170930_230602.wav,Windy,none
12,0.0,2017-ULU01_0+1_20170930_223602.wav,Windy,none
13,0.0,2017-ULU01_0+1_20170930_220602.wav,Windy,none
14,0.0,2017-ULU01_0+1_20170930_213602.wav,Windy,none
15,0.0,2017-ULU01_0+1_20170930_210602.wav,Windy,none
16,0.0,2017-ULU01_0+1_20170930_203602.wav,Windy,none
17,0.0,2017-ULU01_0+1_20170930_200602.wav,Windy,none
18,0.0,2017-ULU01_0+1_20170930_193602.wav,Windy,none
19,0.0,2017-ULU01_0+1_20170930_190602.wav,Windy,none
20,1.0,2017-ULU01_0+1_20170725_180602.wav,,boat
21,1.0,2017-ULU01_0+1_20170725_193602.wav,,boat
22,1.0,2017-ULU01_0+1_20170726_113602.wav,,boat
23,1.0,2017-ULU01_0+1_20170727_113602.wav,,boat
24,1.0,2017-ULU01_0+1_20170727_233602.wav,,boat
25,1.0,2017-ULU01_0+1_20170728_113602.wav,,boat
26,1.0,2017-ULU01_0+1_20170728_170602.wav,,boat
27,1.0,2017-ULU01_0+1_20170728_190602.wav,,boat
28,1.0,2017-ULU01_0+1_20170729_123602.wav,,boat
29,1.0,2017-ULU01_0+1_20170729_190602.wav,,boat
